"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"规则管理","基础规则","关键字/正则","0","0","14","0","0"
"系统管理","运维管理","Syslog规则配置","0","0","10","0","0"
"用户管理","用户同步管理","用户同步","2","0","17","0","0"
"用户管理","基础数据管理","用户与机构管理","2","0","21","0","0"
"用户管理","用户同步管理","用户推送","0","0","2","0","0"
"系统管理","运维管理","日志备份配置","0","0","9","0","0"
"系统管理","权限管理","管理员配置","0","0","6","0","0"
"系统管理","权限管理","角色配置","0","0","7","0","0"
"规则管理","基础规则","文件指纹","0","0","11","0","0"
"系统管理","参数管理","系统参数管理","2","0","4","0","0"
"系统管理","参数管理","系统邮箱配置","0","0","2","0","0"
"用户管理","基础数据管理","职位管理","0","0","4","0","0"
"规则管理","基础规则","数据字典","0","0","9","0","0"
"系统管理","运维管理","服务监控","0","0","2","0","0"
"系统管理","运维管理","告警规则","0","0","5","0","0"
"系统管理","运维管理","管理员审计","0","0","4","0","0"
"规则管理","敏感级别","严重性等级管理","0","0","6","0","0"
"规则管理","基础规则","文件MD5","0","0","7","0","0"
"系统管理","运维管理","告警信息","0","0","1","0","0"
"用户登录","用户登录","用户登录","0","0","1","0","0"
